Epoch,total,pde,ic,bc
0,63.79578399658203,0.005725430324673653,0.6285743117332458,0.009326290339231491
1,50.42842483520508,0.005182815715670586,0.4986770451068878,0.00555534427985549
2,42.236820220947266,0.003989421296864748,0.3888590931892395,0.03346920758485794
3,38.514564514160156,0.0022397765424102545,0.3018012046813965,0.08332203328609467
4,37.71827697753906,0.0008152032969519496,0.23997588455677032,0.13719874620437622
5,37.690330505371094,0.001236250507645309,0.20220761001110077,0.1746833622455597
6,36.89452362060547,0.004887804388999939,0.18293246626853943,0.18596386909484863
7,35.02400588989258,0.012482021003961563,0.17611414194107056,0.17400109767913818
8,32.52434539794922,0.024237370118498802,0.17754340171813965,0.14745768904685974
9,30.02794647216797,0.040182892233133316,0.1844933032989502,0.11538434028625488
10,28.043983459472656,0.06030679866671562,0.19477757811546326,0.08505919575691223
11,26.81890296936035,0.08458591252565384,0.20605425536632538,0.06128893047571182
12,26.292564392089844,0.1129215732216835,0.2155424803495407,0.04625393822789192
13,26.1484432220459,0.14497508108615875,0.2203356921672821,0.03969898819923401
14,25.98490333557129,0.1800738126039505,0.21836374700069427,0.039684541523456573
15,25.53911590576172,0.21739213168621063,0.20925039052963257,0.04396684467792511
16,24.801528930664062,0.25619667768478394,0.1942957490682602,0.05115757882595062
17,23.97317886352539,0.29591646790504456,0.17586612701416016,0.06090650334954262
18,23.33540153503418,0.33605098724365234,0.1567029356956482,0.07329057157039642
19,23.09954833984375,0.3760022819042206,0.13932955265045166,0.08790590614080429
20,23.285099029541016,0.41490989923477173,0.12555815279483795,0.10314372926950455
21,23.692201614379883,0.45159491896629333,0.11616314947605133,0.116242915391922
22,24.026031494140625,0.4847122132778168,0.11093521863222122,0.12447798252105713
23,24.100051879882812,0.5130224823951721,0.1091778576374054,0.12669244408607483
24,23.937700271606445,0.5355443954467773,0.11022987961769104,0.12379167973995209
25,23.707298278808594,0.5515348315238953,0.11358354240655899,0.11797408759593964
26,23.577823638916016,0.5604503154754639,0.1186564490199089,0.1115172803401947
27,23.60501480102539,0.5620321035385132,0.12455212324857712,0.10587770491838455
28,23.71251678466797,0.5565078258514404,0.1300896406173706,0.10147044062614441
29,23.768768310546875,0.5447064638137817,0.13414756953716278,0.09809304773807526
30,23.69060516357422,0.5279293060302734,0.1360783576965332,0.09554839134216309
31,23.491565704345703,0.5076697468757629,0.13589034974575043,0.0939486175775528
32,23.255142211914062,0.48537781834602356,0.13413392007350922,0.09356370568275452
33,23.071502685546875,0.4623393416404724,0.13163456320762634,0.09445706754922867
34,22.985023498535156,0.43963178992271423,0.1292293667793274,0.09622456133365631
35,22.979442596435547,0.4181046783924103,0.1275901049375534,0.09802328050136566
36,23.001394271850586,0.3983684182167053,0.127149298787117,0.09888095408678055
37,23.000892639160156,0.38079988956451416,0.12810146808624268,0.09809945523738861
38,22.960338592529297,0.36557671427726746,0.13043035566806793,0.09551727771759033
39,22.896705627441406,0.35273149609565735,0.13392744958400726,0.0915122926235199
40,22.84218978881836,0.34220579266548157,0.13820232450962067,0.08679752796888351
41,22.82029151916504,0.33388906717300415,0.1427118182182312,0.08215220272541046
42,22.83218765258789,0.3276425898075104,0.14683206379413605,0.0782133936882019
